"purchaseObject.OKPD2.code";"purchaseObject.OKPD2.name";"purchaseObject.OKPD2.code.2dig"
"61.90.10.110";"Услуги по предоставлению специализированных телекоммуникационных приложений, таких как спутниковый трекинг, коммуникационная телеметрия и эксплуатация радиолокационных станций";"61"
"61.90.10.191";"Услуги телеграфной связи";"61"
"52.21.29.000";"Услуги, связанные с автомобильным транспортом, прочие";"52"
"63.99.20.000";"Сборники фактов/информации оригинальные";"63"
"58.14.11.190";"Журналы печатные и периодические издания общего интереса прочие";"58"
"33.17.19.000";"Услуги по ремонту и техническому обслуживанию прочих транспортных средств и оборудования, не включенных в другие группировки";"33"
"85.42.19.000";"Услуги по дополнительному профессиональному образованию прочие";"85"
"49.32.11.000";"Услуги такси";"49"
"10.89.19.160";"Рационы питания и пайки";"10"
"14.12.30.160";"Средства защиты от радиации и воздействия других неблагоприятных факторов внешней среды специализированные, не содержащие встроенных дыхательных аппаратов";"14"
"14.12.30.150";"Рукавицы, перчатки производственные и профессиональные";"14"
"26.30.30.000";"Части и комплектующие коммуникационного оборудования";"26"
"45.20.21.000";"Услуги по обычному (текущему) техническому обслуживанию и ремонту прочих автотранспортных средств, кроме услуг по ремонту электрооборудования и кузовов";"45"
"49.41.19.000";"Услуги по перевозке грузов автомобильным транспортом прочие";"49"
"93.29.29.000";"Услуги зрелищно-развлекательные, не включенные в другие группировки";"93"
"27.40.39.113";"Светильники и устройства осветительные прочие, не включенные в другие группировки, предназначенные для использования со светодиодными лампами и прочими светодиодными источниками света";"27"
"33.12.15.000";"Услуги по ремонту и техническому обслуживанию подъемно-транспортного оборудования";"33"
"63.99.10.190";"Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки";"63"
"93.19.19.000";"Услуги в области спорта и отдыха прочие";"93"
"33.20.39.000";"Услуги по монтажу прочего оборудования специального назначения";"33"
"27.40.21.120";"Фонари электрические переносные, работающие от батарей сухих элементов, аккумуляторов, магнето";"27"
"26.51.41.110";"Приборы, установки, системы дозиметрические";"26"
"26.40.34.110";"Мониторы, не предназначенные специально для использования в качестве периферийного оборудования";"26"
"32.30.15.210";"Изделия и принадлежности для альпинизма";"32"
"95.12.10.000";"Услуги по ремонту коммуникационного оборудования";"95"
"28.24.12.190";"Инструменты ручные прочие с механизированным приводом, не включенные в другие группировки";"28"
"18.12.11.000";"Услуги по печатанию марок почтовых, марок гербовых, документов правоустанавливающих, карточек микропроцессорных, книжек чековых и прочих ценных бумаг и аналогичной продукции";"18"
"82.19.13.000";"Услуги по подготовке документов и прочие услуги по обеспечению деятельности офиса";"82"
"58.11.50.000";"Услуги по изданию книг за вознаграждение или на договорной основе";"58"
"82.30.11.000";"Услуги по организации конференций";"82"
"26.20.11.110";"Компьютеры портативные массой не более 10 кг, такие как ноутбуки, планшетные компьютеры, карманные компьютеры, в том числе совмещающие функции мобильного телефонного аппарата";"26"
"71.12.19.000";"Услуги по инженерно-техническому проектированию прочих объектов";"71"
"85.41.99.000";"Услуги в области дополнительного образования прочие, не включенные в другие группировки";"85"
"38.12.24.000";"Отходы химические опасные";"38"
"15.20.32.124";"Обувь специальная кожаная для защиты от повышенных температур";"15"
